Abdul Rozak,UIN Syarif Hidayatullah Jakarta
AM Hasan Ali,UIN Syarif Hidayatullah Jakarta
Syopiansyah Jaya Putra (orcid.org/0000-0001-7146-0547),"Faculty of Science and Technology, UIN Syarif Hidayatullah Jakarta"
Iwan Permana Suwarna,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Evi Sapinatul Bahriah,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Azkia Muharom Albantani,(SCOPUS ID: 57931079400) Universitas Islam Negeri Syarif Hidayatullah Jakarta …
"Hoirun Nisa, PhD","Dept. of Public Health, Syarif Hidayatullah State Islamic University (UIN) Jakarta"
Rista,Syarif Hidayatullah State Islamic University Jakarta
M. Ridwan Lubis,UIN Syarif Hidayatullah Jakarta
Zulfiani Zulfiani,"Biology Education, UIN Syarif Hidayatullah Jakarta"
"Prof. Dr. Yunasril Ali, MA",Universitas Islam Negeri Syarif Hidayatullah Jakarta
Idris Thaha,UIN Syarif Hidayatullah Jakarta
Achmad Satori Ismail,UIN Syarif Hidayatullah Jakarta
"Dr. Asep Syarifuddin Hidayat, SH, MH",Fakultas Syariah dan Hukum UIN Syarif Hidayatullah Jakarta
Didin Saefuddin,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Khairan Muhammad Arif,UIN Syarif Hidayatullah Jakarta
husniteja sukmana,"Lecture of Information Engineering, Syarif Hidayatullah State Islamic University Jakarta"
Yusuf Rahman,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Yusuf Durachman, Yusuf Durrachman, Yusuf Durrahman",Syarif Hidayatullah State Islamic University Jakarta
Rusli,"Professor of History of Islamic Law, Universitas Islam Negeri Syarif Hidayatullah Jakarta"
"Prof. Dr. Sri Mulyati, MA",UIN Syarif Hidayatullah Jakarta
Didin Syafruddin,Syarif Hidayatullah State Islamic University of Jakarta
Zahrotun Nihayah,UIN Syarif Hidayatullah Jakarta
Chaider S. Bamualim,Fakultas Ilmu Sosial dan Ilmu Politik UIN Syarif Hidayatullah Jakarta
Yayan Sopyan,UIN Syarif Hidayatullah Jakarta
Siti Suryaningsih,UIN Syarif Hidayatullah Jakarta
Gazi Saloom,"Social psychology, UIN Syarif Hidayatullah Jakarta"
Lia Kurniawati,UIN Syarif Hidayatullah Jakarta
Ismail Hasani,"Lecturer, UIN Syarif Hidayatullah Jakarta"
Muhammad Farkhan,"Professor of Applied Linguistics, UIN Syarif Hidayatullah Jakarta"
Burhanudin Milama,UIN Syarif Hidayatullah Jakarta
Iding Rosyidin,UIN Syarif Hidayatullah Jakarta
Mochamad Iqbal Nurmansyah,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Nur Rofiah,UIN Syarif Hidayatullah Jakarta
Kholis Ridho,UIN Syarif Hidayatullah Jakarta
Ismail Hasani,"Lecturer, UIN Syarif Hidayatullah Jakarta"
Asrori S. Karni,Fakultas Syariah dan Hukum UIN Jakarta
Iwan Purwanto,"Ekonomi Pendidikan, UIN Syarif Hidayatullah Jakarta"
